Code,name,num,s_Chinese,s_English,s_Math,s_Society,s_Science,m_Chinese,m_English,m_Math,m_Society,m_Science
001012,中國文學系,20,前,均,均,均,--,3,6,--,8,--
001022,外國語文學系,46,前,頂,--,前,--,--,2.5,--,--,--
001032,歷史學系,24,前,前,均,前,--,3,3,--,3,--
001042,哲學系,20,前,前,前,--,--,6,3,6,--,--
001052,人類學系,13,--,均,--,均,--,--,5,--,--,--
001062,圖書資訊學系,18,前,前,均,均,--,5,3,--,--,--
001072,日本語文學系,22,前,前,均,前,--,3,3,--,4,--
001092,數學系,17,--,均,前,--,均,--,--,3,--,10
001102,物理學系,29,前,前,--,--,--,--,--,3,--,6
001112,化學系,32,均,均,均,--,均,--,3,4,--,5
001122,地質科學系,22,均,均,均,--,均,10,8,6,--,3
001132,心理學系,20,均,均,均,--,均,--,2.5,2.5,--,2.5
001142,地理環境資源學系,13,--,均,均,--,--,--,3,5,6,--
001152,大氣科學系,16,均,均,均,--,均,3,3,3,--,3
001162,政治學系政治理論組,12,前,前,均,前,--,5,3,--,5,--
001172,政治學系國際關係組,12,前,前,均,前,--,5,3,--,5,--
001182,政治學系公共行政組,12,前,前,均,前,--,5,3,--,5,--
001192,經濟學系,52,--,--,前,--,--,--,--,3,--,--
001202,社會學系,14,前,前,均,前,--,3,3,--,3,--
001212,社會工作學系,17,均,均,均,均,--,5,3,5,5,--
001222,醫學系,50,頂,頂,頂,--,頂,4,2,2,--,2
001232,醫學系(公費生),12,頂,頂,頂,--,頂,4,2,2,--,2
001242,牙醫學系,12,前,頂,頂,--,頂,--,2.5,2.5,--,2.5
001252,藥學系,20,均,均,前,--,前,--,--,4,--,4
001262,醫學檢驗暨生物技術學系,18,均,--,--,--,均,--,6,5,--,3
001272,護理學系,19,--,均,--,--,均,--,6,--,--,3
001282,物理治療學系,20,均,前,前,--,前,--,6,--,--,3
001292,職能治療學系,21,前,前,前,--,前,5,6,3,--,3
001302,土木工程學系,57,均,均,均,--,均,3,3,3,--,3
001312,機械工程學系,76,均,均,前,--,前,3,3,3,--,3
001322,化學工程學系,57,頂,頂,頂,--,頂,3,3,3,--,3
001332,工程科學及海洋工程學系,24,--,均,均,--,均,--,3,3,--,3
001342,材料科學與工程學系,25,頂,頂,頂,--,頂,3,3,3,--,3
001352,醫學工程學系,12,前,頂,頂,--,頂,4,4,4,--,4
001362,農藝學系,14,--,均,--,--,--,--,--,--,--,--
001372,生物環境系統工程學系,22,均,均,均,--,均,--,10,3,--,6
001382,農業化學系,25,均,均,均,--,均,--,--,8,--,3
001392,森林環境暨資源學系,33,均,均,均,--,均,--,--,--,--,3
001402,動物科學技術學系,14,均,均,均,--,均,6,6,6,--,3
001412,農業經濟學系,19,均,均,均,--,--,3,4,5,--,--
001422,園藝暨景觀學系,24,均,均,均,--,均,--,--,--,--,--
001432,獸醫學系,30,均,前,均,--,前,3,4,3,--,2.5
001442,生物產業傳播暨發展學系,18,前,前,前,前,--,3,3,3,--,--
001452,生物機電工程學系,18,--,均,均,--,均,--,3,3,--,3
001462,昆蟲學系,15,均,均,均,--,均,--,5,4,--,3
001472,植物病理與微生物學系,10,均,均,均,--,均,--,3,--,--,6
001482,工商管理學系企業管理組,27,頂,--,--,--,--,3,--,--,--,--
001492,工商管理學系科技管理組,22,頂,--,--,--,--,3,--,--,--,--
001502,會計學系,42,頂,頂,頂,前,--,--,2.5,2.5,--,--
001512,財務金融學系,45,--,頂,頂,--,--,--,2,3,--,--
001522,國際企業學系,45,--,頂,頂,--,--,--,2.5,--,--,--
001532,資訊管理學系,34,--,頂,頂,--,--,--,3,3,--,--
001542,公共衛生學系,23,--,均,均,--,均,--,--,--,--,--
001552,電機工程學系,90,前,頂,頂,--,頂,--,2.5,2.5,--,2.5
001562,資訊工程學系,61,前,頂,頂,--,頂,--,10,3,--,10
001572,法律學系法學組,12,頂,頂,前,頂,--,4,4,--,--,--
001582,法律學系司法組,12,頂,頂,前,頂,--,4,4,--,--,--
001592,法律學系財經法學組,12,頂,頂,前,頂,--,4,4,--,--,--
001602,生命科學系,28,前,--,前,--,--,--,3,--,--,3
001612,生化科技學系,26,均,均,均,--,均,--,6,10,--,2.5
001622,希望組甲組(文社法),8,均,均,均,均,--,5,5,--,5,--
001632,希望組乙組(數理),2,均,均,前,--,前,--,--,3,--,6
001642,希望組丙組(生醫),4,前,前,前,--,前,--,5,5,--,5
001652,希望組丁組(電資),4,均,前,頂,--,前,--,5,5,--,5
001662,希望組戊組(商管),3,前,前,前,均,--,--,3,3,--,--
001672,希望組己組(工),7,均,前,前,--,前,--,5,5,--,5
001682,希望組庚組(生農),5,均,均,均,--,均,--,5,5,--,5
001692,醫學系(希望組辛組),1,頂,頂,頂,--,頂,4,2,2,--,2
002012,教育學系,26,前,前,均,均,--,--,--,--,--,--
002022,教育學系(公費生),1,前,前,前,--,均,--,--,--,--,--
002032,教育心理與輔導學系,14,前,前,均,均,--,--,--,--,--,--
002042,社會教育學系,22,前,前,均,前,--,3,5,5,3,--
002052,社會教育學系(青年儲蓄帳戶組),1,前,前,均,前,--,--,--,--,--,--
002062,健康促進與衛生教育學系,18,均,均,--,--,--,2.5,2.5,--,--,--
002072,人類發展與家庭學系家庭生活教育組,13,均,均,--,--,--,--,3,4,--,--
002082,人類發展與家庭學系幼兒發展與教育組,15,均,均,--,--,--,--,3,4,--,--
002092,公民教育與活動領導學系,30,前,前,均,前,--,--,--,--,2,--
002102,特殊教育學系,15,均,均,均,--,--,3,4,5,--,--
002112,學習科學學士學位學程,4,均,均,前,--,--,--,4,8,--,--
002122,教育學院學士班,9,均,均,均,均,--,--,4,4,--,--
002132,國文學系,40,頂,前,--,前,--,2,--,--,--,--
002142,英語學系,40,前,頂,--,--,--,3,2,--,4,--
002152,英語學系(公費生),1,前,頂,--,--,--,3,2,--,4,--
002162,歷史學系,25,前,前,--,前,--,5,4,--,3,--
002172,地理學系,35,前,均,均,均,--,--,4,3,5,--
002182,臺灣語文學系,8,前,均,--,前,--,4,7,--,5,--
002192,數學系,44,--,均,前,--,均,--,--,3,--,--
002202,物理學系,37,均,--,--,--,前,--,--,3,--,4
002212,化學系,40,--,均,均,--,均,--,5,4,--,3
002222,生命科學系,24,均,均,均,--,--,--,--,--,--,3
002232,地球科學系,12,--,--,均,--,均,--,12,3,--,6
002242,資訊工程學系,26,均,均,前,--,前,--,10,3,--,--
002262,營養科學學士學位學程,13,--,均,--,--,均,--,--,--,--,3
002272,科技應用與人力資源發展學系,40,--,均,均,--,均,--,5,5,--,5
002282,圖文傳播學系,8,前,前,--,--,--,5,5,--,--,--
002292,機電工程學系,10,均,均,前,--,均,--,--,--,--,--
002302,電機工程學系,27,均,前,前,--,前,--,5,3,--,5
002312,光電工程學士學位學程,10,均,前,前,--,前,--,8,8,--,4.5
002322,華語文教學系應用華語文學組,18,前,前,--,前,--,5,3,--,7,--
002332,東亞學系,20,均,前,均,均,--,4,5,3,--,--
002342,企業管理學系,17,均,均,均,--,--,5,3,4,--,--
002352,設計學系產品設計組,10,均,均,均,--,均,--,--,--,--,--
002362,不分系招生(晨光組),12,均,均,後,--,後,--,--,--,--,--
003012,中國文學系,28,均,均,--,--,--,3,6,--,--,--
003022,外國語文學系,22,前,前,--,均,--,5,3,--,--,--
003032,歷史學系,24,前,均,--,前,--,5,5,--,3,--
003042,台灣人文創新學士學位學程,7,均,均,--,均,--,7,10,--,12,--
003052,財務金融學系,30,前,前,前,--,--,--,3,5,--,--
003062,企業管理學系,22,--,前,前,--,--,--,3.5,3,--,--
003072,資訊管理學系,11,均,前,前,--,均,10,10,3,--,10
003092,會計學系,21,前,前,前,前,--,--,3,5,--,--
003102,行銷學系,24,前,前,前,--,--,3,5,5,--,--
003112,應用經濟學系,20,均,均,均,--,--,--,3,5,--,--
003122,法律學系,16,前,前,前,前,--,3,3,5,3,--
003132,化學系,22,--,均,前,--,前,--,8,4,--,3
003142,物理學系一般物理組,16,--,均,前,--,前,--,3,6,--,--
003152,物理學系光電物理組,12,--,均,前,--,前,--,4,6,--,--
003162,應用數學系應用數學組,20,--,均,前,--,均,--,10,3,--,5
003172,應用數學系數據科學與計算組,20,--,均,前,--,均,--,10,3,--,5
003182,機械工程學系,52,--,均,均,--,均,--,7,3,--,3
003192,土木工程學系,50,均,均,--,--,均,--,--,3,--,3
003202,環境工程學系,19,均,均,均,--,均,6,6,2.5,--,2.5
003212,化學工程學系,20,--,均,前,--,前,--,5,3,--,3
003222,材料科學與工程學系,22,--,均,均,--,均,--,5,3,--,3
003232,電機工程學系,26,--,均,均,--,均,--,8,3,--,3
003242,資訊科學與工程學系,10,均,均,均,--,--,--,5,8,--,5
003262,電機資訊學院學士班,17,--,均,均,--,均,--,8,3,--,3
003272,生物產業機電工程學系,22,--,均,均,--,均,--,10,3,--,10
003282,水土保持學系,29,--,均,均,--,均,--,5,3,--,4
003292,食品暨應用生物科技學系,24,均,均,均,--,均,5,3,4,--,3
003302,農藝學系,19,均,均,均,--,均,6,--,--,--,2.5
003312,園藝學系,16,均,均,均,--,前,--,5,--,--,3
003322,森林學系林學組,14,均,均,均,--,均,--,--,--,--,3.5
003332,森林學系木材科學組,13,均,均,均,--,均,--,--,--,--,3.5
003342,植物病理學系,19,均,均,--,--,均,--,6,--,--,5
003352,昆蟲學系,20,均,均,均,--,前,4,2.5,3,--,2.5
003362,動物科學系,18,均,均,均,--,均,6,6,6,--,3
003372,土壤環境科學系,24,--,均,均,--,均,--,5,5,--,3
003382,生物科技學士學位學程,15,均,均,均,--,均,--,10,--,--,7
003392,景觀與遊憩學士學位學程,9,--,前,均,均,前,--,5,10,--,--
003402,國際農企業學士學位學程,7,均,前,均,--,均,--,10,--,--,7
003412,生命科學系,47,均,均,均,--,前,--,8,10,--,3
003422,獸醫學系,35,均,前,均,--,前,--,10,--,--,--
003432,興翼招生A組(商學管理),7,均,均,均,--,--,7,7,7,--,--
003442,興翼招生B組(文史法律),4,均,均,--,均,--,10,10,--,10,--
003452,興翼招生C組(化學數學),4,--,均,均,--,均,--,10,10,--,10
003462,興翼招生D組(化材電資暨工程),13,--,均,均,--,均,--,3.5,3.5,--,3.5
003472,興翼招生E組(生物資源暨農業科技),10,--,均,均,--,均,--,5,5,--,5
003482,興翼招生F組(生物科技暨獸醫),9,--,均,均,--,均,--,5.5,5.5,--,5.5
004012,中國文學系,15,頂,均,--,前,--,3,10,--,10,--
004022,外國語文學系,15,前,頂,--,--,--,5,3,--,6,--
004032,歷史學系,19,前,前,--,前,--,5,4,--,3,--
004042,台灣文學系,20,頂,前,--,前,--,3,8,--,10,--
004052,數學系,30,後,均,前,--,均,8,6,3,--,6
004062,物理學系,18,均,前,前,--,前,--,--,--,--,3
004072,化學系,26,--,前,前,--,前,--,--,--,--,3
004082,地球科學系,24,--,均,均,--,前,--,--,3,--,5
004092,光電科學與工程學系,23,均,均,前,--,前,--,--,3,--,3
004102,機械工程學系,87,均,前,前,--,前,--,5,5,--,5
004112,機械工程學系(普渡雙聯組),5,均,頂,前,--,前,--,5,5,--,5
004122,化學工程學系,60,前,前,頂,--,頂,--,5,3,--,3
004132,材料科學及工程學系,45,--,頂,頂,--,頂,--,--,--,--,--
004142,資源工程學系,24,均,均,均,--,均,10,8,4,--,6
004152,土木工程學系,48,均,均,均,--,均,6,6,4,--,4
004162,水利及海洋工程學系,21,均,均,前,--,前,6,8,2.5,--,4
004172,工程科學系,30,--,前,前,--,前,--,--,6,--,3
004182,系統及船舶機電工程學系,27,均,前,前,--,前,--,--,5,--,5
004192,航空太空工程學系,26,--,前,前,--,前,--,10,5,--,5
004202,環境工程學系,24,均,前,前,--,前,3,5,4,--,4
004212,測量及空間資訊學系,28,--,前,前,--,前,--,--,--,--,--
004222,生物醫學工程學系,17,--,前,前,--,前,3,3,3,--,3
004232,能源工程國際學士學位學程,20,--,前,前,--,前,--,10,5,--,5
004242,工業與資訊管理學系,28,前,前,前,--,--,--,10,8,--,--
004262,交通管理科學系,25,均,前,前,--,均,5,2.5,3,--,5
004272,統計學系,17,均,前,前,--,--,--,5,3,--,--
004282,會計學系,19,均,均,均,--,--,--,2.5,3,--,--
004292,醫學系,38,頂,頂,頂,--,頂,6,5,2.5,--,2.5
004302,醫學系(公費生),5,頂,頂,頂,--,頂,6,5,2.5,--,2.5
004312,醫學檢驗生物技術學系,15,均,均,均,--,均,--,4,--,--,3
004322,護理學系,16,均,均,--,--,均,8,3,--,--,6
004332,職能治療學系,12,--,前,--,--,前,4,--,--,--,--
004342,物理治療學系,14,--,前,--,--,均,--,7,--,--,--
004352,藥學系,15,均,均,均,--,均,3,--,--,--,4
004362,牙醫學系,7,頂,頂,頂,--,頂,5,5,4,--,4
004372,政治學系,21,前,前,均,前,--,5,3,--,8,--
004382,經濟學系,22,均,均,均,--,--,3,5,6,--,--
004392,法律學系,23,頂,頂,均,均,--,3,3,3,3,--
004402,心理學系,20,--,均,均,--,均,--,3,3,--,3
004412,電機工程學系,79,--,均,前,--,前,--,--,--,--,--
004422,電機工程學系(普渡雙聯組),6,--,前,前,--,前,--,--,--,--,--
004432,資訊工程學系,57,--,前,前,--,前,--,--,3,--,--
004442,資訊工程學系(普渡雙聯組),6,--,前,前,--,前,--,3,3,--,--
004462,建築學系,28,均,均,均,--,--,--,--,--,--,--
004472,都市計劃學系,28,均,均,均,--,--,--,--,--,--,--
004482,工業設計學系,16,均,均,均,--,均,--,--,--,--,--
004492,生命科學系,28,均,均,均,--,前,--,5,4,--,3
004502,生物科技與產業科學系,14,均,均,--,--,前,12,8,--,--,3.5
004512,全校不分系學士學位學程,6,前,前,頂,--,--,12,9,7,--,--
004522,成星招生甲組(文社),8,均,均,--,均,--,6,--,--,8,--
004532,成星招生乙組(管理),5,均,均,均,--,--,--,12,10,--,--
004542,成星招生丙組(理),5,--,均,均,--,均,--,--,10,--,15
004552,成星招生丁組(工),27,--,均,前,--,均,--,--,3,--,4
004562,成星招生戊組(生醫),7,--,均,均,--,均,--,8,8,--,7
004572,企業管理學系,17,--,均,均,--,--,--,2.5,3,--,--
005012,中國文學系,95,均,--,--,後,--,3,--,--,4,--
005022,歷史學系,28,底,底,--,底,--,--,5,--,--,--
005032,哲學系,37,後,後,--,--,--,5,3,--,--,--
005042,政治學系,68,均,後,--,後,--,4,--,--,--,--
005052,社會學系,60,均,後,--,均,--,3,--,--,--,--
005062,社會工作學系,60,--,--,後,後,--,7,5,--,--,--
005072,社會工作學系(連江公費生),1,--,--,後,後,--,--,--,--,--,--
005082,英文學系,80,均,前,--,--,--,5,3,--,--,--
005092,日本語文學系,78,均,均,--,後,--,4,3,--,--,--
005102,德國文化學系,21,均,均,--,--,--,4,3,--,--,--
005112,數學系,33,--,--,均,--,--,--,--,3,--,--
005122,物理學系,33,--,--,底,--,底,--,3,5,--,8
005132,化學系,20,--,--,後,--,後,--,--,--,--,--
005142,微生物學系應用微生物組,17,--,後,--,--,均,--,3,--,--,10
005152,微生物學系生物科技組,17,--,均,--,--,後,--,3,--,--,10
005162,心理學系,30,後,均,後,--,--,--,3,--,--,--
005172,法律學系,116,前,前,--,--,--,3,5,7,--,--
005182,經濟學系,85,--,後,均,--,--,--,4,3,--,--
005192,會計學系,140,均,均,均,--,--,5,--,--,--,--
005202,企業管理學系,120,--,均,均,--,--,--,3,5,--,--
005212,國際經營與貿易學系,60,均,前,均,--,--,--,4,--,--,--
005222,財務工程與精算數學系,110,--,後,均,--,--,5,4,3,--,--
005232,資訊管理學系,83,--,均,均,--,--,--,5,3,--,--
005242,巨量資料管理學院學士學位學程,58,--,均,均,--,--,--,--,--,--,--
006012,中國文學系,29,頂,前,--,前,--,3,6,--,8,--
006022,歷史學系,18,前,前,--,前,--,6,5,--,3,--
006032,哲學系,25,前,前,--,--,--,4,3,--,--,--
006042,教育學系,20,均,前,--,--,--,--,2.5,--,--,--
006052,政治學系,19,--,均,--,均,--,--,8,--,3,--
006062,社會學系,16,前,前,均,前,--,--,4,5,3,--
006072,財政學系,37,前,前,前,--,--,4,3,2,--,--
006082,公共行政學系,16,前,前,--,前,--,3,2.5,--,4,--
006092,地政學系土地資源規劃組,14,前,前,前,前,--,4,6,6,--,--
006102,地政學系土地管理組,12,前,前,前,前,--,5,5,4,--,--
006112,地政學系土地測量與資訊組,13,前,前,前,--,前,3,3,4,--,--
006122,經濟學系,35,--,前,前,--,--,--,4,3,--,--
006132,民族學系,16,前,前,--,前,--,3,3,--,3,--
006142,外交學系,22,前,前,均,前,--,4,3,9,10,--
006152,國際經營與貿易學系,31,前,前,前,--,--,5,4,3,--,--
006162,金融學系,18,前,前,前,--,--,4,3,3,--,--
006172,會計學系,38,均,均,均,均,--,--,2,2,--,--
006182,統計學系社會組,9,前,前,頂,--,--,--,5,6,--,--
006192,統計學系自然組,9,前,前,頂,--,--,--,5,6,--,--
006202,企業管理學系,30,前,前,前,--,--,3,4,4,3,--
006212,資訊管理學系,23,前,前,前,--,--,4,3,2.5,--,--
006222,財務管理學系,17,前,前,前,--,--,4,3,3,--,--
006232,風險管理與保險學系,13,前,前,前,--,--,3,3,3,--,--
006242,傳播學院大一大二不分系(社會組),46,前,前,--,--,--,3,3,--,--,--
006252,傳播學院大一大二不分系(自然組),10,--,前,前,--,--,--,3,3,--,--
006262,傳播學院大一大二不分系(青年儲蓄帳戶組),2,均,均,--,--,--,--,--,--,--,--
006272,英國語文學系,23,前,頂,--,--,--,3,2.5,5,4,--
006282,阿拉伯語文學系,17,前,頂,均,--,--,4,3,--,5,--
006292,斯拉夫語文學系,16,前,前,--,前,--,4,3,--,5,--
006302,日本語文學系,11,前,頂,--,前,--,5,3.5,--,4,--
006312,韓國語文學系,10,前,頂,--,前,--,5,3.5,--,5,--
006322,土耳其語文學系,11,前,前,--,--,--,4,3,--,--,--
006332,歐洲語文學系法文組,8,前,前,--,前,--,3,3,--,4,--
006342,歐洲語文學系德文組,8,前,前,--,前,--,3,3,--,4,--
006352,歐洲語文學系西班牙文組,7,前,前,--,前,--,3,3,--,4,--
006362,法律學系,74,均,前,均,前,--,5,3.5,--,3.5,--
006372,應用數學系,18,--,均,前,--,--,--,--,3,--,--
006382,心理學系,13,均,均,均,--,均,6,5,3,--,--
006392,資訊科學系,19,--,均,前,--,均,--,--,2.5,--,--
006412,資訊科學系(青年儲蓄帳戶組),1,--,均,均,--,--,--,--,--,--,--
006422,創新國際學院學士班,10,均,前,--,前,--,--,3,--,--,--
006432,政星招生甲組,24,均,均,--,均,--,3,3,--,3,--
006442,政星招生乙組,22,均,均,均,--,--,3,3,3,--,--
007012,醫學系,79,前,前,前,--,前,7,3,6,--,3
007022,運動醫學系,28,--,均,--,--,均,--,8,--,--,3
007032,呼吸治療學系,24,--,均,--,--,均,--,3,--,--,3
007042,牙醫學系,51,均,前,前,--,前,6,6,6,--,2.5
007052,口腔衛生學系,24,均,後,後,--,均,--,5,--,--,3
007062,藥學系,77,前,前,前,--,前,--,4,--,--,3
007072,香粧品學系,42,均,均,--,--,均,5,4,--,--,3
007082,護理學系,33,--,均,--,--,均,--,3,--,--,8
007092,醫學檢驗生物技術學系,25,--,--,--,--,均,--,3,--,--,3
007102,醫學影像暨放射科學系,23,--,均,均,--,後,--,3,4,--,6
007112,公共衛生學系,24,--,均,均,--,--,--,5,3,--,--
007122,職能治療學系,22,均,均,--,--,均,6,3,--,--,--
007132,物理治療學系,22,--,均,均,--,均,--,5,6,--,3
007142,醫務管理暨醫療資訊學系,29,--,後,後,--,--,--,3,6,--,--
007152,醫藥暨應用化學系醫藥化學組,24,--,--,--,--,均,--,5,--,--,3
007162,醫藥暨應用化學系應用化學組,24,--,--,--,--,均,--,5,--,--,3
007172,生物醫學暨環境生物學系,23,後,均,後,--,均,--,8,--,--,3
007182,生物科技學系,22,--,--,--,--,均,--,7,--,--,3
007192,心理學系,28,--,均,均,--,後,--,3,3,--,--
007202,醫學社會學與社會工作學系,37,均,均,底,--,--,10,3,--,--,--
007212,生命科學院學士班,6,--,--,--,--,均,--,8,--,--,3
007222,醫學系(公費生),8,前,前,前,--,前,7,3,6,--,3
007232,醫學系(薪火A1組),2,均,前,前,--,前,--,5,4,--,3
007242,牙醫學系(薪火A2組),1,均,前,前,--,前,--,12,9,--,6
007252,藥學系(薪火A3組),2,均,前,前,--,前,--,5,4,--,3
007262,薪火招生B組,9,均,--,--,--,均,3,--,--,--,2
007272,薪火招生C組,18,--,--,--,--,均,3,--,--,--,2
007282,薪火招生D組,4,--,均,--,--,--,3,2,--,--,--
008012,應用數學系,74,--,--,後,--,後,--,--,3,--,--
008022,物理學系物理組,35,--,--,均,--,後,--,--,3,--,5
008032,物理學系光電與材料科學組,36,--,--,均,--,後,--,--,3,--,5
008042,化學系化學組,37,--,--,均,--,均,--,4,4,--,3
008052,化學系材料化學組,36,--,--,均,--,均,--,4,4,--,3
008062,心理學系,70,後,均,均,--,後,--,4,3,--,5
008072,生物科技學系,68,--,後,後,--,均,--,4,5,--,3
008082,化學工程學系綠能製程組,38,--,後,後,--,後,--,--,--,--,--
008092,化學工程學系生化工程組,38,--,後,後,--,後,--,--,--,--,--
008102,化學工程學系材料工程組,38,--,後,後,--,後,--,--,--,--,--
008112,土木工程學系,112,--,--,後,--,--,3,--,3,--,--
008122,機械工程學系,120,--,--,--,--,後,--,--,4,--,4
008132,生物醫學工程學系,75,--,後,後,--,後,--,--,3,--,3
008142,環境工程學系,36,--,後,--,--,--,--,--,--,--,--
008152,電機資訊學院學士班,31,--,均,--,--,--,--,3,--,--,--
008162,工業與系統工程學系工程組,73,後,--,--,--,--,3,--,3,--,--
008172,工業與系統工程學系管理組,32,後,--,--,--,--,3,3,--,--,--
008182,電子工程學系,97,--,後,--,--,--,--,--,3,--,--
008192,資訊工程學系,79,--,後,--,--,--,--,--,--,--,--
008202,電機工程學系,84,--,均,--,--,--,--,3,3,--,--
008212,企業管理學系服務業管理組,24,均,--,--,--,--,3,--,--,--,--
008222,企業管理學系高科技業管理組,24,均,--,--,--,--,3,--,--,--,--
008232,企業管理學系工商管理組,41,均,--,--,--,--,3,--,--,--,--
008242,國際經營與貿易學系,47,--,均,--,--,--,5,3,6,--,--
008252,會計學系,90,均,--,--,--,--,--,--,--,--,--
008262,資訊管理學系,51,--,--,後,--,--,3,--,--,--,--
008272,財務金融學系,71,均,--,--,--,--,--,--,--,--,--
008282,中原大學與美國天普大學商學管理雙學士學位學程,10,--,均,--,--,--,--,5,--,--,--
008292,財經法律學系,75,均,均,--,--,--,--,--,--,3,--
008302,建築學系,35,--,均,--,--,--,--,--,--,--,--
008312,室內設計學系,31,均,均,--,--,--,4,--,--,--,--
008322,商業設計學系商業設計組,30,--,後,--,--,--,--,--,--,--,--
008332,商業設計學系產品設計組,16,--,--,--,--,後,--,--,--,--,--
008342,景觀學系,37,均,後,--,--,--,3,--,--,--,--
008352,特殊教育學系,36,均,後,後,--,--,3,5,5,--,--
008362,應用外國語文學系,60,--,均,--,--,--,4,3,--,--,--
008372,應用華語文學系,81,均,後,--,--,--,3,4,--,--,--
009012,中國文學系,55,--,--,底,--,--,5,3,--,--,--
009022,外國語文學系,57,後,均,--,--,--,--,3,--,--,--
009032,歷史學系,29,--,--,--,均,--,--,--,--,3,--
009042,日本語言文化學系,59,--,均,--,--,--,3,5,--,--,--
009052,哲學系,33,均,--,--,--,--,--,--,--,--,--
009062,應用物理學系,37,--,後,--,--,--,--,--,--,--,--
009072,化學系化學組,21,--,後,後,--,後,--,--,--,--,--
009082,化學系化學生物組,23,--,後,後,--,後,--,--,--,--,--
009092,生命科學系生物醫學組,29,--,--,--,--,均,--,5,--,--,3
009102,生命科學系生態暨生物多樣性組,29,--,--,--,--,均,--,--,--,--,3
009112,應用數學系,28,--,--,均,--,--,--,--,5,--,--
009122,化學工程與材料工程學系(製程及能源工程組),23,--,後,後,--,--,--,3,3,--,--
009132,化學工程與材料工程學系(材料工程組),12,--,--,後,--,後,--,--,4,--,4
009142,化學工程與材料工程學系(生化工程組),12,--,--,後,--,後,--,--,4,--,4
009152,工業工程與經營資訊學系(智慧設計與生產組),25,--,後,均,--,--,--,--,3,--,--
009162,工業工程與經營資訊學系(智慧經營與管理組),32,--,均,後,--,--,--,3,--,--,--
009172,環境科學與工程學系,56,--,--,--,--,後,--,4,5,--,3
